name,country_code,year,surface_temp
Iceland,ISL,1941,7.813473
Iceland,ISL,1941,6.2174945
Iceland,ISL,1941,7.3756657
Iceland,ISL,1941,1.6061213
Iceland,ISL,1941,-1.159116
Iceland,ISL,1941,-3.8117065
Iceland,ISL,1942,-4.0750976
Iceland,ISL,1942,-4.4780993
Iceland,ISL,1942,-4.061987
Iceland,ISL,1942,-1.7659618
Iceland,ISL,1942,1.0679115
Iceland,ISL,1942,4.0716395
Iceland,ISL,1942,6.10285
Iceland,ISL,1942,6.7957563
Iceland,ISL,1942,2.3646235
Iceland,ISL,1942,-3.514245
Iceland,ISL,1942,-3.1180482
Iceland,ISL,1942,-5.3905616
Iceland,ISL,1943,-7.468533
Iceland,ISL,1943,-7.64557
Iceland,ISL,1943,-3.789463
Iceland,ISL,1943,-3.2891464
Iceland,ISL,1943,-0.9284592
Iceland,ISL,1943,3.3935347
Iceland,ISL,1943,6.84388
Iceland,ISL,1943,4.04944
Iceland,ISL,1943,2.9959965
Iceland,ISL,1943,-1.1613939
Iceland,ISL,1943,-4.0686607
Iceland,ISL,1943,-2.9627292
Iceland,ISL,1944,-8.1804695
Iceland,ISL,1944,-5.54448
Iceland,ISL,1944,-4.343962
Iceland,ISL,1944,-2.1210074
Iceland,ISL,1944,0.8121088
Iceland,ISL,1944,3.6830137
Iceland,ISL,1944,7.384291
Iceland,ISL,1944,6.042081
Iceland,ISL,1944,2.6838691
Iceland,ISL,1944,-1.1518064
Iceland,ISL,1944,-7.137035
Iceland,ISL,1944,-6.3005714
Iceland,ISL,1945,-10.270202
Iceland,ISL,1945,-6.0817323
Iceland,ISL,1945,-1.7080108
Iceland,ISL,1945,-2.2213135
Iceland,ISL,1945,0.29883513
Iceland,ISL,1945,3.3906302
Iceland,ISL,1945,7.3207912
Iceland,ISL,1945,7.676626
Iceland,ISL,1945,4.7447476
Iceland,ISL,1945,1.7571931
Iceland,ISL,1945,-0.19190052
Iceland,ISL,1945,-5.9815793
Iceland,ISL,1946,-2.473792
Iceland,ISL,1946,-7.434801
Iceland,ISL,1946,-4.5586624
Iceland,ISL,1946,-2.0738957
Iceland,ISL,1946,2.9668477
Iceland,ISL,1946,3.8566062
Iceland,ISL,1946,7.3622594
Iceland,ISL,1946,6.0917377
Iceland,ISL,1946,3.5751574
Iceland,ISL,1946,3.1544566
Iceland,ISL,1946,-4.550458
Iceland,ISL,1946,-3.2023816
Iceland,ISL,1947,-1.4453895
Iceland,ISL,1947,-10.5985565
Iceland,ISL,1947,-10.52707
Iceland,ISL,1947,-4.645281
Iceland,ISL,1947,2.3310983
Iceland,ISL,1947,4.5406537
Iceland,ISL,1947,7.39278
Iceland,ISL,1947,8.433857
Iceland,ISL,1947,3.9616008
Iceland,ISL,1947,0.10946311
Iceland,ISL,1947,-6.337459
Iceland,ISL,1947,-6.1566257
Iceland,ISL,1948,-5.809009
Iceland,ISL,1948,-3.5115893
Iceland,ISL,1948,-1.6178808
Iceland,ISL,1948,-4.839175
Iceland,ISL,1948,-0.78647524
Iceland,ISL,1948,3.2285624
Iceland,ISL,1948,6.334462
Iceland,ISL,1948,7.16405
Iceland,ISL,1948,-0.10947512
Iceland,ISL,1948,-2.8653133
Iceland,ISL,1948,-3.5459485
Iceland,ISL,1948,-4.7468123
Iceland,ISL,1949,-6.7095923
Iceland,ISL,1949,-3.6144824
Iceland,ISL,1949,-3.5386145
Iceland,ISL,1949,-4.244211
Iceland,ISL,1949,-0.4075576
Iceland,ISL,1949,5.6242623
Iceland,ISL,1949,8.162727
Iceland,ISL,1949,6.6360307
Iceland,ISL,1949,6.2065353
Iceland,ISL,1949,0.8191428
Iceland,ISL,1949,-0.7391708
Iceland,ISL,1949,-5.367626
Iceland,ISL,1950,-0.9105938
Iceland,ISL,1950,-5.6015472
Iceland,ISL,1950,-3.1161914
Iceland,ISL,1950,-2.7700226
Iceland,ISL,1950,2.726774
Iceland,ISL,1950,5.393834
Iceland,ISL,1950,8.338513
Iceland,ISL,1950,8.254762
Iceland,ISL,1950,3.428745
Iceland,ISL,1950,0.35922554
Iceland,ISL,1950,-3.9244726
Iceland,ISL,1950,-6.1596627
Iceland,ISL,1951,-5.3180346
Iceland,ISL,1951,-3.6552594
Iceland,ISL,1951,-7.260512
Iceland,ISL,1951,-4.210828
Iceland,ISL,1951,3.4227226
Iceland,ISL,1951,5.6791553
Iceland,ISL,1951,7.518815
Iceland,ISL,1951,7.458708
Iceland,ISL,1951,5.813992
Iceland,ISL,1951,1.8506663
Iceland,ISL,1951,-3.1000264
Iceland,ISL,1951,-4.9912543
Iceland,ISL,1952,-6.624185
Iceland,ISL,1952,-3.655684
Iceland,ISL,1952,-3.1070454
Iceland,ISL,1952,-0.65190643
Iceland,ISL,1952,1.8456106
Iceland,ISL,1952,3.2986577
Iceland,ISL,1952,7.3469863
Iceland,ISL,1952,6.600825
Iceland,ISL,1952,4.013373
Iceland,ISL,1952,2.176723
Iceland,ISL,1952,-2.0033882
Iceland,ISL,1952,-3.0819287
Iceland,ISL,1953,-4.0863185
Iceland,ISL,1953,-1.8866032
Iceland,ISL,1953,-0.92971116
Iceland,ISL,1953,-4.8060784
Iceland,ISL,1953,2.4628296
